"","blog.txt","news.txt","twitter.txt"
"big news",8,1,7
"big oil",3,1,1
"big one",7,1,10
"big part",8,1,4
"big party",3,1,6
"big picture",5,1,1
"big plans",3,1,7
"big problem",6,1,1
"big projects",1,1,1
"big push",1,1,1
"big red",5,1,4
"big s",2,1,6
"big screen",7,3,12
"big sky",2,1,1
"big ten",1,6,8
"big thanks",2,1,26
"big time",10,4,17
"bigger picture",2,1,1
"biggest problem",4,1,2
"biggest thing",2,3,1
"bill already",1,1,1
"bill can",1,2,1
"bill clinton",4,1,5
"bill s",3,5,3
"bill will",3,2,2
"billie jean",1,1,1
"billion dollar",4,2,1
"billion dollars",2,2,4
"billions dollars",4,2,1
"billy joel",2,2,2
"billy s",2,1,1
"bin laden",16,11,15
"bin laden s",5,3,2
"birth certificate",11,1,3
"birth control",16,3,5
"birthday boy",1,1,2
"birthday celebrations",2,1,1
"birthday even",1,1,1
"birthday just",1,1,2
"birthday present",6,1,5
"bit different",4,2,1
"bit everything",3,1,2
"bit like",19,2,3
"bit much",9,1,3
"bit now",5,2,2
"bite sized",2,2,1
"bitter sweet",4,1,3
"black belt",1,1,2
"black cod",1,1,1
"black eyed",5,1,6
"black friday",3,1,24
"black hair",6,2,4
"black holes",3,1,1
"black keys",3,1,3
"black man",10,2,6
"black people",6,2,21
"black pepper",11,1,1
"black t",2,1,1
"black white",43,6,7
"black widow",1,1,2
"blaine gabbert",1,1,1
"blake griffin",2,1,8
"bless america",1,1,2
"block away",4,1,1
"block light",1,1,1
"blog called",7,1,1
"blog s",16,1,2
"blood pressure",19,1,11
"blood sugar",8,2,1
"blow away",1,1,1
"blown save",1,1,1
"blu ray",9,4,10
"blu ray dvd",2,1,1
"blue collar",4,1,1
"blue jeans",3,1,1
"blue light",2,1,1
"blue ridge",1,1,1
"blue sea",2,1,2
"blue white",4,2,3
"board directors",7,3,2
"board education",3,4,1
"board games",1,1,1
"board member",1,4,4
"board president",1,2,1
"board s",2,10,2
"board supervisors",1,2,1
"board will",1,1,3
"body can",5,1,2
"body feels",1,1,1
"body mind",5,2,2
"body parts",5,2,1
"body s",15,1,4
"body work",2,1,2
"boise state",1,1,2
"book foundation",1,1,1
"book great",2,1,4
"book made",3,1,1
"book now",3,1,13
"book s",24,1,7
"book store",1,1,3
"book years",2,1,1
"books self",3,1,1
"boot camp",2,1,7
"born raised",3,3,3
"borrow money",1,1,2
"borrowed money",1,1,1
"boston globe",2,1,1
"boston s",1,1,3
"bottom barrel",1,1,1
"bottom line",6,4,6
"bought one",6,2,2
"bought something",1,1,1
"bouncing around",1,1,1
"bowling green",3,1,2
"box office",5,4,6
"boy named",1,1,1
"boy s",25,3,6
"boy said",1,1,1
"boy scout",2,1,1
"boy want",1,1,1
"boys girls",9,3,2
"brad pitt",2,1,5
"brain damage",1,1,1
"brand new",47,3,48
